country,hospital_ID,no_of_staff,no_of_patients,male_patients,female_patients,no_of_beds,hospital_category,No_of_deaths_in_2022,No_of_deaths_in_2023
guinea-bissau,e0c34c4c54d52fe,67,9069,138,8931,1431,day_surgery,14,23
guyana,beea0cefcd9b53a,1684,9014,155,8859,2895,children,25,44
guyana,a4c0c42a1ebe6e4,697,7429,40,7389,1552,children,15,25
guyana,513f535882afd7d,592,1852,227,1625,1534,outpatient,15,24
guyana,b73b0deedeecca0,501,5050,3,5047,831,outpatient,10,14
haiti,924fc506bd20747,61,3215,15,3200,135,children,5,4
haiti,badce4b6b7e6ecf,727,8491,30,8461,1691,children,16,27
haiti,2402ecd89b5e16d,53,3884,295,3589,1215,psychiatric,13,20
haiti,d60eb560ccf800f,4360,8738,213,8525,6319,research,49,93
haiti,e1e2ede231a49aa,1700,7913,298,7615,3784,children,31,57
haiti,2e92e71eb9e6fb7,335,5703,58,5645,451,research,7,9
haiti,dc6d6e7ea7deabd,144,406,108,298,373,outpatient,7,8
hungary,30a079b41f85cf7,477,4156,287,3869,3927,children,32,59
hungary,aacadfad1365da3,2387,6796,203,6593,4126,speciality,33,61
hungary,778fb7e29d989a6,297,3894,24,3870,812,general,10,14
hungary,a68bbe2bdba36e4,6905,7679,261,7418,7393,research,57,108
haiti,f8e394bbabdb0b5,5295,6932,244,6688,5922,standalone_emergency,46,87
haiti,c61dd4bb78351a7,877,4308,244,4064,1564,research,15,25
haiti,183edd689dbde8f,688,8873,52,8821,1470,children,15,24
haiti,da2fe1267ccbbae,3495,4929,128,4801,4540,children,36,67
haiti,78fcb64cb9a9c40,1229,3410,134,3276,2294,research,20,35
haiti,b98b5b8944c73cd,1323,1905,49,1856,1805,psychiatric,17,28
haiti,ecc3baf0677bf90,3149,5662,120,5542,4761,speciality,38,71
honduras,b943aa9d8d33575,3338,8318,213,8105,4324,children,35,64
honduras,ea29bafac0fd400,1198,6436,205,6231,3494,children,29,52
iceland,5e94b45be9da540,65,599,186,413,65,children,4,3
honduras,b8a269b56c88826,597,6597,248,6349,3204,children,27,48
hungary,e5cab57fff6f4bd,55,117,54,63,111,children,5,4
hungary,8b901f70eaf1bbe,52,1075,58,1017,119,children,5,4
hungary,3abb3f3bb9c1c3c,266,5573,56,5517,3744,teaching,31,56
hungary,a98cb22e83aec1a,3511,6926,228,6698,6180,children,48,91
iceland,82def5c9d6f513d,948,2253,61,2192,1884,children,17,29
